id,gender,forename,surname,birth_date,death_date,father.forename,father.surname,mother.forename,mother.surname,floruit,study.colleges,arrival,study.degrees.years,degrees,birth_location.country,birth_location.county,birth_location.latitude,birth_location.longitude,birth_location.official_name,birth_location.original_name,references
idp1382156516,M,Cuthbert [Thornhill],Glass,null,1830-12-15,null,null,null,null,"[{""occupation"":null,""location"":{""original_name"":""Indian Civil Service, Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1810"",""to"":""1830""}]","[{""name"":""United College"",""from"":""1807"",""to"":""1810""}]",1807,"[{""name"":""B.A."",""date"":""1826-12-06""}]",B.A.,GB,Leicester,52.6462333,-1.1360127,Leicester,Abbey Park,"[""Danvers et al. Memorials of Old Haileybury College p341"",""Miles & Dodwell, Bengal civil service"",""Scotsman 11.5.1831""]"
idp1383619164,M,Richard P[earson],Greaves,null,null,Joseph,Greaves,Maria Anne,Pearson,"[{""occupation"":""Curate"",""location"":{""original_name"":""St Georges, Bolton-le-Moors"",""official_name"":""Bolton"",""county"":""Greater Manchester"",""country"":""GB"",""latitude"":53.5830252,""longitude"":-2.4277304},""from"":""1852"",""to"":null},{""occupation"":""Minister"",""location"":{""original_name"":""St Georgeâ€™s District, Manchester"",""official_name"":""Manchester"",""county"":""Greater Manchester"",""country"":""GB"",""latitude"":53.5100155,""longitude"":-2.1885812},""from"":""1853"",""to"":""1857""},{""occupation"":""Church Missionary Society"",""location"":{""original_name"":""Kolkata, India"",""official_name"":""Kolkata"",""county"":null,""country"":""IN"",""latitude"":22.572646,""longitude"":88.36389500000001},""from"":""1858"",""to"":""1865""}]","[{""name"":""United College"",""from"":""1845"",""to"":""1848""}]",1845,"[{""name"":""B.A."",""date"":""1848-04-28""}]",B.A.,null,null,null,null,null,null,"[""UYUC400:5.11.1845"",""United College prize list"",""UYUY459 Box B File 4"",""J.A. Venn, Alumni Cantabrigienses""]"
idp1412373916,M,William,Stevenson,1839-10-13,15/08/1916,James,Stevenson,Elizabeth,Young,"[{""occupation"":""Free Church missionary"",""location"":{""original_name"":""Chennai, India"",""official_name"":""Chennai"",""county"":""Chennai"",""country"":""IN"",""latitude"":13.0826802,""longitude"":80.2707184},""from"":""1864"",""to"":""1883""}]","[{""name"":""United College"",""from"":""1854"",""to"":""1858""}]",1854,"[{""name"":""B.A."",""date"":""1857-11-25""},{""name"":""M.A."",""date"":""1858-04-28""}]",B.A.,GB,Perth and Kinross,56.3638909,-3.6155948,Findo Gask,Findogask/Auchterarder,"[""UYUC400:8.11.1854"",""UYUY674 J. R. Chrystal"",""UYUY911 Literary Soc."",""Edinburgh Evening News 16.8.1916"",""Deaths Reg. Crieff 1916/57""]"
idp1394162292,M,William,Macfarlane,1840-01-05,1887-02-15,Robert,Macfarlane,null,null,"[{""occupation"":null,""location"":{""original_name"":""St Andrews presbytery"",""official_name"":""St Andrews"",""county"":""Fife"",""country"":""GB"",""latitude"":56.3397753,""longitude"":-2.7967214},""from"":""1862"",""to"":null},{""occupation"":""Missionary"",""location"":{""original_name"":""Gaya"",""official_name"":""Gaya"",""county"":""Gaya"",""country"":""IN"",""latitude"":24.7913957,""longitude"":85.0002336},""from"":""1865"",""to"":""1870""},{""occupation"":""Missionary"",""location"":{""original_name"":""Darjeeling"",""official_name"":""Darjeeling"",""county"":""Darjeeling"",""country"":""IN"",""latitude"":27.0410218,""longitude"":88.2662745},""from"":""1870"",""to"":""1887-02-15""}]","[{""name"":""United College"",""from"":""1854"",""to"":""1859""},{""name"":""St Maryâ€™s College"",""from"":""1858"",""to"":""1862""}]",1854,"[{""name"":""B.A."",""date"":""1857-11-25""},{""name"":""M.A."",""date"":""1858-04-28""}]",B.A.,GB,Highland Council,57.316187,-5.69517,Drumbuie,Drumbuie,"[""UYUC310"",""UYUY452/17/240, 259, 427, 18/138"",""Census 1861 St Andrews"",""Fasti ecclesiae scoticanae""]"
idp1387029124,M,George,Howells,1871-05-11,07/11/1955,G. W.,Howells,null,null,"[{""occupation"":""Principal"",""location"":{""original_name"":""Serampore College, Bengal"",""official_name"":null,""county"":""Hooghly"",""country"":""IN"",""latitude"":22.7519011,""longitude"":88.35183459999999},""from"":""1907"",""to"":""1929""},{""occupation"":""Professor of Hebrew"",""location"":{""original_name"":""Rawdon"",""official_name"":""Rawdon"",""county"":""West Yorkshire"",""country"":""GB"",""latitude"":53.851907,""longitude"":-1.684089},""from"":""1932"",""to"":""1935""}]",null,null,"[{""name"":""B.D."",""date"":""1895-03-29""},{""name"":""D.D."",""date"":""1930-06-27""}]",B.D.,GB,Monmouthshire,51.8116533,-2.7163045,Monmouth,"Cwm, Monmouthshire","[""Who was Who"",""George Howells"",""also ""]"
idp1420056932,M,Edward Burchell,Woods,1861,1958,null,null,null,null,"[{""occupation"":""Baptist minister"",""location"":{""original_name"":""Kirkcaldy"",""official_name"":""Kirkcaldy"",""county"":""Fife"",""country"":""GB"",""latitude"":56.1168249,""longitude"":-3.158137},""from"":""1913"",""to"":null},{""occupation"":""Baptist minister"",""location"":{""original_name"":""Colombo"",""official_name"":""Colombo"",""county"":""Colombo"",""country"":""LK"",""latitude"":6.9270786,""longitude"":79.861243},""from"":""1913"",""to"":""1918""},{""occupation"":""Baptist minister"",""location"":{""original_name"":""Australia"",""official_name"":null,""county"":null,""country"":""AU"",""latitude"":-25.274398,""longitude"":133.775136},""from"":""1935"",""to"":null},{""occupation"":""Baptist minister"",""location"":{""original_name"":""Hobart"",""official_name"":""Hobart"",""county"":null,""country"":""AU"",""latitude"":-42.8826055,""longitude"":147.3257196},""from"":""1945"",""to"":null}]",null,null,"[{""name"":""B.D."",""date"":""1896-03-27""}]",B.D.,null,null,null,null,null,null,"[""Alumnus Chronicle 35 p41, 49 p36""]"
idp1378878732,M,David,Ewart,1806-09-24,1860-09-09,Thomas,Ewart,Katherine,Ogilvy,"[{""occupation"":""Missionary"",""location"":{""original_name"":""Kolkata, India"",""official_name"":""Kolkata"",""county"":null,""country"":""IN"",""latitude"":22.572646,""longitude"":88.36389500000001},""from"":""1834"",""to"":""1860-09-09""}]","[{""name"":""United College"",""from"":""1821"",""to"":""1825""},{""name"":""St Maryâ€™s College"",""from"":""1825"",""to"":""1829""}]",1821,"[{""name"":""D.D."",""date"":""1857-12-12""}]",D.D.,GB,Perth and Kinross,56.62578,-3.226867,Alyth,"Balloch, Alyth","[""UYSM400/4/34, 52"",""Chalmers, Class list, New College CHA6.14.1-4"",""Births Reg. Alyth"",""Fasti ecclesiae scoticanae""]"
idp7ee93e834ee9ac0111e30fe393f634b6,M,William Sinclair,Mâ€™Kay,1807-05-08,1865-09-06,John,Mâ€™Kay,Dorothea Jane,Mackie,"[{""occupation"":""Missionary"",""location"":{""original_name"":""Kolkata, India"",""official_name"":""Kolkata"",""county"":null,""country"":""IN"",""latitude"":22.572646,""longitude"":88.36389500000001},""from"":""1831"",""to"":""1843""},{""occupation"":""Missionary"",""location"":{""original_name"":""Chinsurah"",""official_name"":""Chinsurah"",""county"":""Hooghly"",""country"":""IN"",""latitude"":22.9011588,""longitude"":88.3898552},""from"":""1843"",""to"":""1862""}]","[{""name"":""United College"",""from"":""1822"",""to"":""1824""},{""name"":""St Maryâ€™s College"",""from"":""1824"",""to"":""1826""}]",1822,"[{""name"":""D.D."",""date"":""1856-01-12""}]",D.D.,GB,Highland Council,58.593566,-3.52208,Thurso,Thurso,"[""UYSM400/4/12d, 34"",""Chalmers, Class list, New College CHA6.14.1-4"",""Edinburgh, New College CHA4.38.30, 4.79.51""]"
idp1369795532,M,Claudius,Buchanan,1766-03-12,1815-02-09,Alexander,Buchanan,Janet,Somers,"[{""occupation"":""Curate"",""location"":{""original_name"":""St Mary Woolnoth"",""official_name"":""London"",""county"":""Greater London"",""country"":""GB"",""latitude"":51.51281580000001,""longitude"":-0.0880355},""from"":""1795"",""to"":""1796""},{""occupation"":""Chaplain"",""location"":{""original_name"":""Bengal"",""official_name"":null,""county"":null,""country"":""IN"",""latitude"":22.9867569,""longitude"":87.8549755},""from"":""1796"",""to"":""1797""},{""occupation"":""Professor of Greek, Latin and English"",""location"":{""original_name"":""Fort William College, Kolkata"",""official_name"":""Kolkata"",""county"":null,""country"":""IN"",""latitude"":22.572646,""longitude"":88.36389500000001},""from"":""1800"",""to"":""1807""}]",null,null,"[{""name"":""D.D."",""date"":""1804-11-09""}]",D.D.,GB,South Lanarkshire,55.820982,-4.164891,Cambuslang,Cambuslang,"[""W.I. Addison, Matriculation albums of the University of Glasgow 1728-1858""]"
idp1412287444,M,John,Stevenson,1798-11-03,1858-08-11,William,Stevenson,Marjorie,Ferrie,"[{""occupation"":null,""location"":{""original_name"":""Glasgow presbytery"",""official_name"":""Glasgow"",""county"":""Glasgow City"",""country"":""GB"",""latitude"":55.864237,""longitude"":-4.251806},""from"":""1818"",""to"":null},{""occupation"":""Missionary"",""location"":{""original_name"":""Mumbai"",""official_name"":""Mumbai"",""county"":""Mumbai"",""country"":""IN"",""latitude"":19.0759837,""longitude"":72.8776559},""from"":""1823"",""to"":""1854""},{""occupation"":""Missionary"",""location"":{""original_name"":""Hurnee"",""official_name"":""Gurnee"",""county"":""Lake County"",""country"":""US"",""latitude"":42.3702996,""longitude"":-87.90201859999999},""from"":""1823"",""to"":""1854""},{""occupation"":""Missionary"",""location"":{""original_name"":""Poona"",""official_name"":""Pune"",""county"":""Pune"",""country"":""IN"",""latitude"":18.5204303,""longitude"":73.8567437},""from"":""1823"",""to"":""1854""},{""occupation"":""Minister"",""location"":{""original_name"":""Ladykirk"",""official_name"":""Upsettlington"",""county"":""Scottish Borders"",""country"":""GB"",""latitude"":55.71328099999999,""longitude"":-2.183333},""from"":""1855"",""to"":""1858-08-11""}]",null,null,"[{""name"":""D.D."",""date"":""1836-01-16""}]",D.D.,GB,Derry and Strabane,55.03037,-7.21591,Campsie,Campsie,"[""Fasti ecclesiae scoticanae""]"
